t,i,j,k,v,q
2018,380,699,121221,0.933,        0.060
2018,579,156,121229,12.693,       10.000
2018,579,208,121221,97.252,       29.561
2018,579,208,121229,36.94,        5.287
2018,579,380,121229,10.906,      140.064
2018,579,699,121221,138.006,       18.720
2018,699,156,121221,6.847,       13.514
2018,699,156,121229,2.394,        0.100
2018,699,380,121221,11.606,        0.458
2017,156,208,121221,352.587,       47.672
2017,156,380,121221,958.323,       75.413
2017,156,380,121229,522.253,      141.902
2017,156,579,121221,466.217,        9.671
2017,156,579,121229,1.772,        0.035
2017,156,699,121221,495.572,       29.718
2017,208,156,121221,14.764,        0.200
2017,208,380,121221,128.255,        0.502
2017,208,380,121229,204.939,      117.295
2017,208,579,121221,16.553,        1.474
2017,208,579,121229,0.487,        0.228
2017,380,156,121229,17.26,        0.206
2017,380,208,121221,3.475,        0.077
2017,380,208,121229,290.484,      179.521
2017,380,579,121221,1.116,        0.061
2017,579,156,121221,19.641,       12.520
2017,579,156,121229,14.491,       10.121
2017,579,208,121221,97.177,       21.159
2017,579,208,121229,19.265,       11.080
2017,579,380,121221,5.079,        0.162
2017,579,380,121229,36.149,      240.236
2017,699,208,121221,8.695,        0.400
2017,699,380,121221,7.025,        0.450
2016,156,208,121221,460.073,       21.308
2016,156,208,121229,3.387,        4.060
2016,156,380,121221,1188.791,       82.235
2016,156,380,121229,331.502,       93.117
2016,156,579,121221,97.883,        3.992
2016,156,579,121229,1.806,        0.036
2016,156,699,121221,1239.865,       46.291
2016,156,699,121229,48.787,        3.580
2016,208,156,121221,2.98,        0.005
2016,208,380,121221,14.31,        0.161
2016,208,380,121229,57.661,       20.095
2016,208,579,121221,22.066,        1.368
2016,208,579,121229,4.685,        0.819
2016,380,208,121221,0.967,        0.082
2016,380,208,121229,71.468,       39.354
2016,380,579,121221,0.132,        0.002
2016,380,579,121229,13.5,       10.500
2016,579,156,121221,127.685,       91.441
2016,579,156,121229,56.568,       21.731
2016,579,208,121221,23.292,        7.742
2016,579,208,121229,48.374,       30.110
2016,579,380,121221,6.596,        0.189
2016,579,380,121229,22.735,      167.296
2016,699,208,121229,5.484,        0.280
2016,699,380,121221,2.347,        0.150
2022,156,208,121221,541.731,       63.625
2022,156,208,121229,18.921,        0.673
2022,156,380,121221,1485.607,      157.904
2022,156,380,121229,421.642,       56.687
2022,156,579,121221,40.476,        3.433
2022,156,579,121229,0.917,        0.032
2022,156,699,121221,31.014,        1.682
2022,156,699,121229,24.482,        0.733
2022,208,380,121221,205.096,       34.393
2022,208,380,121229,36.225,       12.287
2022,208,579,121221,8.677,        0.809
2022,208,579,121229,5.01,        0.362
2022,380,156,121229,162.099,       79.569
2022,380,208,121221,3.54,        0.110
2022,380,208,121229,3.896,        1.841
2022,380,579,121221,11.39,        0.269
2022,380,579,121229,14.142,       12.836
2022,579,156,121229,11.851,        4.634
2022,579,208,121221,22.323,       13.380
2022,579,208,121229,20.261,       11.138
2022,579,380,121221,0.42,        0.125
2022,579,380,121229,261.598,      137.662
2022,699,208,121221,0.066,        0.008
2022,699,579,121221,1.128,        0.029
2021,156,208,121221,201.334,       31.962
2021,156,208,121229,0.002,        0.001
2021,156,380,121221,1133.475,      114.080
2021,156,380,121229,314.046,       55.356
2021,156,579,121221,32.693,        2.917
2021,156,579,121229,2.065,        0.082
2021,156,699,121221,4.131,        0.435
2021,208,156,121221,16.63,        0.065
2021,208,380,121221,274.855,        4.605
2021,208,380,121229,47.325,       14.683
2021,208,579,121221,23.247,        1.762
2021,208,579,121229,3.004,        2.669
2021,380,156,121229,252.315,      158.617
2021,380,208,121221,1.732,        0.137
2021,380,208,121229,20.343,        8.654
2021,380,579,121221,0.448,        0.004
2021,380,579,121229,21.576,       13.285
2021,579,156,121221,187.492,      185.595
2021,579,156,121229,144.225,       36.899
2021,579,208,121221,521.987,      172.996
2021,579,208,121229,32.718,       61.150
2021,579,380,121229,146.283,      658.663
2021,699,380,121221,3.715,        0.050
